Component2_Kappa3,Component2_NHOHCount,Component1_PEOE_VSA8,Component2_VSA_EState1,Component1_SMR_VSA6,Component1_TPSA,Component1_Hfus,Component1_Tm,Component2_LabuteASA,Component1_PEOE_VSA14,Component1_BCUT2D_CHGHI,Component1_BCUT2D_LOGPLOW,Component2_EState_VSA4,Component1_MinEStateIndex,Component2_Hfus,Component2_Tm
9.510489164,1,0.0,0.84375,0.0,74.6,23100.0,407.5,57.11615165,11.93861058,2.011442757,-2.033619986,11.02778726,-1.3125,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,74.6,34000.0,455.2,57.11615165,11.93861058,1.998283859,-2.002385746,11.02778726,-1.076481481,4300.0,597.0
9.510489164,1,0.0,0.84375,6.606881965,57.53,19300.0,350.8,57.11615165,5.969305288,1.821840346,-1.982084097,11.02778726,-1.189814815,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,74.6,18580.0,462.4,57.11615165,11.93861058,2.035172276,-2.090221174,11.02778726,-1.824074074,4300.0,597.0
9.510489164,1,12.84164325,0.84375,0.0,74.6,20700.0,370.9,57.11615165,11.93861058,1.990166887,-1.982462448,11.02778726,-0.947916667,4300.0,597.0
9.510489164,1,6.420821623,0.84375,0.0,37.3,51020.0,336.8,57.11615165,5.969305288,1.963312707,-1.929455998,11.02778726,-0.654562036,4300.0,597.0
9.510489164,1,6.420821623,0.84375,0.0,37.3,61360.0,344.04,57.11615165,5.969305288,1.965533262,-1.929476882,11.02778726,-0.653061016,4300.0,597.0
9.510489164,1,6.606881965,0.84375,6.606881965,20.23,45810.0,311.7,57.11615165,0.0,1.919656717,-1.842070181,11.02778726,0.37244898,4300.0,597.0
9.510489164,1,6.606881965,0.84375,6.606881965,20.23,60960.0,324.4,57.11615165,0.0,1.929004255,-1.844746358,11.02778726,0.373046875,4300.0,597.0
9.510489164,1,6.606881965,0.84375,6.606881965,20.23,65350.0,332.9,57.11615165,0.0,1.936202182,-1.846639558,11.02778726,0.37345679,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,94.83,33522.0,404.3,57.11615165,11.93861058,2.156029932,-2.221424827,11.02778726,-1.789351852,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,115.06,36310.0,443.3,57.11615165,11.93861058,2.287815775,-2.388402943,11.02778726,-2.266203704,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,57.53,11340.0,289.95,57.11615165,5.969305288,2.009807514,-2.130994801,11.02778726,-1.231481481,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,20.23,13740.0,314.6,57.11615165,0.0,2.280715003,-2.31141052,11.02778726,-0.028935185,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,69.11,14790.0,406.5,57.11615165,6.031114512,1.603229127,-2.182471059,11.02778726,-0.833333333,4300.0,597.0
9.510489164,1,0.0,0.84375,13.21376393,40.46,9960.0,260.6,57.11615165,0.0,1.575298676,-1.84530091,11.02778726,-0.125,4300.0,597.0
9.510489164,1,0.0,0.84375,13.21376393,60.69,18300.0,291.2,57.11615165,0.0,1.932810557,-2.153670382,11.02778726,-0.953703704,4300.0,597.0
9.510489164,1,6.9237372,0.84375,0.0,63.6,29800.0,414.0,57.11615165,11.93861058,2.104306981,-2.063000062,11.02778726,-1.114027778,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,37.3,39500.0,350.4,57.11615165,5.969305288,2.123540109,-2.068800465,11.02778726,-0.771657796,4300.0,597.0
9.510489164,1,0.0,0.84375,0.0,57.53,26100.0,431.0,57.11615165,5.969305288,2.051199792,-1.945908635,11.02778726,-1.11287037,4300.0,597.0
718.25,0,6.420821623,1.0,0.0,37.3,27500.0,304.8,45.95697578,5.969305288,1.951512413,-1.928646926,4.483030858,-0.663372045,20490.0,612.87
718.25,0,6.420821623,1.0,0.0,37.3,34690.0,317.5,45.95697578,5.969305288,1.956963566,-1.929208723,4.483030858,-0.659309449,20490.0,612.87
718.25,0,6.420821623,1.0,0.0,37.3,45750.0,327.0,45.95697578,5.969305288,1.960598042,-1.929394031,4.483030858,-0.656551714,20490.0,612.87
718.25,0,6.420821623,1.0,0.0,37.3,51020.0,336.8,45.95697578,5.969305288,1.963312707,-1.929455998,4.483030858,-0.654562036,20490.0,612.87
718.25,0,6.420821623,1.0,0.0,37.3,61360.0,344.04,45.95697578,5.969305288,1.965533262,-1.929476882,4.483030858,-0.653061016,20490.0,612.87
3.018891864,0,0.0,1.277777778,0.0,74.6,34000.0,455.2,75.7763531,11.93861058,1.998283859,-2.002385746,0.0,-1.076481481,13900.0,633.0
3.018891864,0,12.84164325,1.277777778,0.0,74.6,20700.0,370.9,75.7763531,11.93861058,1.990166887,-1.982462448,0.0,-0.947916667,13900.0,633.0
