Component1_fr_methoxy,Component1_MolLogP,Component2_Kappa3,Component2_FpDensityMorgan3,Component1_EState_VSA6,Component2_SMR_VSA1,Component1_PEOE_VSA8,Component1_Hfus,Component1_Tm,Component1_Chi0v,Component1_Kappa1,Component2_qed,Component1_BCUT2D_MWLOW,Component1_FpDensityMorgan1,Component2_Hfus,Component2_Tm
0,-0.4543,9.510489164,1.625,0.0,21.99659141,0.0,23100.0,407.5,3.418030553,5.94,0.397592531,10.45575022,1.142857143,4300.0,597.0
0,-0.0642,9.510489164,1.625,0.0,21.99659141,0.0,34000.0,455.2,4.125137334,6.94,0.397592531,10.31427388,1.0,4300.0,597.0
0,-0.9367,9.510489164,1.625,0.0,21.99659141,0.0,19300.0,350.8,2.509782263,4.43,0.397592531,10.7712312,1.8,4300.0,597.0
0,-0.8444,9.510489164,1.625,0.0,21.99659141,0.0,18580.0,462.4,2.710923772,4.94,0.397592531,10.72706773,1.0,4300.0,597.0
0,0.3259,9.510489164,1.625,0.0,21.99659141,12.84164325,20700.0,370.9,4.832244115,7.94,0.397592531,10.23110658,1.0,4300.0,597.0
0,5.5523,9.510489164,1.625,0.0,21.99659141,6.420821623,51020.0,336.8,12.25495682,17.47,0.397592531,10.04473192,0.666666667,4300.0,597.0
0,6.3325,9.510489164,1.625,0.0,21.99659141,6.420821623,61360.0,344.04,13.66917038,19.47,0.397592531,10.03832299,0.6,4300.0,597.0
0,4.6798,9.510489164,1.625,0.0,21.99659141,6.606881965,45810.0,311.7,10.63960175,14.96,0.397592531,10.05452583,0.533333333,4300.0,597.0
0,5.46,9.510489164,1.625,0.0,21.99659141,6.606881965,60960.0,324.4,12.05381531,16.96,0.397592531,10.04523624,0.470588235,4300.0,597.0
0,6.2402,9.510489164,1.625,0.0,21.99659141,6.606881965,65350.0,332.9,13.46802888,18.96,0.397592531,10.03868695,0.421052632,4300.0,597.0
0,-1.0934,9.510489164,1.625,0.0,21.99659141,0.0,33522.0,404.3,4.442594418,7.9,0.397592531,10.25333109,1.333333333,4300.0,597.0
0,-2.1226,9.510489164,1.625,0.0,21.99659141,0.0,36310.0,443.3,4.760051501,8.86,0.397592531,10.19711243,0.9,4300.0,597.0
0,-0.5482,9.510489164,1.625,0.0,21.99659141,0.0,11340.0,289.95,3.380025751,5.43,0.397592531,10.4339672,1.833333333,4300.0,597.0
0,2.4395,9.510489164,1.625,0.0,21.99659141,0.0,13740.0,314.6,7.877935016,9.051240876,0.397592531,9.754711402,1.272727273,4300.0,597.0
0,-0.9762,9.510489164,1.625,0.0,21.99659141,0.0,14790.0,406.5,2.062948829,3.27,0.397592531,11.19589811,1.5,4300.0,597.0
0,-1.029,9.510489164,1.625,0.0,21.99659141,0.0,9960.0,260.6,2.308640753,3.92,0.397592531,10.81832367,1.0,4300.0,597.0
0,-1.6681,9.510489164,1.625,0.0,21.99659141,0.0,18300.0,291.2,3.333204618,5.88,0.397592531,10.41839259,1.166666667,4300.0,597.0
0,1.3101,9.510489164,1.625,12.13273414,21.99659141,6.9237372,29800.0,414.0,6.981359544,9.249605735,0.397592531,10.18228238,1.307692308,4300.0,597.0
0,3.0732,9.510489164,1.625,6.9237372,21.99659141,0.0,39500.0,350.4,9.526670282,11.76304602,0.397592531,9.968471761,1.2,4300.0,597.0
0,1.0904,9.510489164,1.625,12.13273414,21.99659141,0.0,26100.0,431.0,5.112076558,6.60778563,0.397592531,10.18750536,1.3,4300.0,597.0
0,3.2117,718.25,0.833333333,0.0,16.89006402,6.420821623,27500.0,304.8,8.012316135,11.47,0.297843772,10.0883172,1.0,20490.0,612.87
0,3.9919,718.25,0.833333333,0.0,16.89006402,6.420821623,34690.0,317.5,9.426529698,13.47,0.297843772,10.06722392,0.857142857,20490.0,612.87
0,4.7721,718.25,0.833333333,0.0,16.89006402,6.420821623,45750.0,327.0,10.84074326,15.47,0.297843772,10.05379892,0.75,20490.0,612.87
0,5.5523,718.25,0.833333333,0.0,16.89006402,6.420821623,51020.0,336.8,12.25495682,17.47,0.297843772,10.04473192,0.666666667,20490.0,612.87
0,6.3325,718.25,0.833333333,0.0,16.89006402,6.420821623,61360.0,344.04,13.66917038,19.47,0.297843772,10.03832299,0.6,20490.0,612.87
0,-0.0642,3.018891864,0.9,0.0,21.46448171,0.0,34000.0,455.2,4.125137334,6.94,0.515946906,10.31427388,1.0,13900.0,633.0
0,0.3259,3.018891864,0.9,0.0,21.46448171,12.84164325,20700.0,370.9,4.832244115,7.94,0.515946906,10.23110658,1.0,13900.0,633.0
0,0.716,3.018891864,0.9,0.0,21.46448171,12.84164325,37400.0,426.2,5.539350897,8.94,0.515946906,10.1780733,0.9,13900.0,633.0
